place_id,name,latitude,longitude,rating,is_boutique
ChIJ69JJHxJuK4cR-7sZpwfeizI,Anytime Fitness,33.6277763,-112.0658519,4.6,0
ChIJE_Glze5zK4cRt3K_dKsOYdw,TG The Gym,33.6110475,-111.9972095,4.7,0
ChIJO2jRvB51K4cR2nmfP-0IWpU,Fitlab AZ,33.6436043,-111.8948037,5.0,0
ChIJ0U9pYgB1K4cR7LJ4CxkvvIM,Mountainside Fitness Frank Lloyd Wright,33.6284292,-111.8872032,4.5,0
ChIJRxcvm1V1K4cRvhm8eiJEAKU,Planet Fitness,33.5732385,-111.8628823,4.6,0
ChIJYbnDt46YK4cR4yIB2fELRzw,Anytime Fitness,33.6095727,-111.7252741,4.6,0
ChIJM-bnZ5GYK4cRQWx9DryZXzs,Snap Fitness Fountain Hills,33.6083718,-111.7296386,4.8,0
ChIJ44SvkupaK4cRWoNjXPF_U20,Adobe Center,33.6597392,-112.4031065,4.7,0
ChIJ5Rw8S_BbK4cR1ywMowR0lC0,Fitness Center,33.6634274,-112.3555218,5.0,0
ChIJXZjHzgpbK4cRM7pTptsQC5Q,Palm Ridge Recreation Center,33.6873892,-112.3577421,4.7,0
ChIJhfcV9xlbK4cRrYPvNWDfF5Y,Kuentz Recreation Center,33.671033,-112.370298,4.6,0
ChIJM3R8VaFdK4cRKGWZkD_AwW4,Mountainside Fitness Peoria,33.7093112,-112.269303,4.3,0
ChIJ-zUVJqZdK4cR3rXkE4iBLiA,Anytime Fitness,33.707587,-112.2739297,4.6,0
ChIJ23hNFehdK4cRKuIYRWV_0Cc,OHM Fitness Happy Valley,33.7171429,-112.2716468,5.0,0
ChIJiz7_bJRlK4cRBC3-r05fUF8,Mountainside Fitness Happy Valley,33.7085901,-112.1149277,4.6,0
ChIJfwE0av9nK4cRkKKepPlvofs,Planet Fitness,33.6722599,-112.2375904,4.6,0
ChIJsXAU5j5uK4cRCsh8V3RvHFI,Planet Fitness,33.6412615,-112.0695092,4.5,0
ChIJEwtIFbp7K4cRL-JMxer4H9g,The Club Cave Creek,33.7705615,-111.982946,4.6,0
ChIJHevRj1VwK4cRLTHGPiB8PfE,Mountainside Fitness Desert Ridge,33.6737893,-111.9865464,4.4,0
ChIJq6qqqppxK4cRF3rbDg_UBh8,Desert Foothills Family YMCA,33.7960761,-111.9527299,4.8,0
ChIJZ3RMgPdwK4cR4XMYRcNWMsQ,Fireside at Desert Ridge Community Center,33.6819151,-111.9970802,4.7,0
ChIJiTk7Q8pxK4cRpB4o-GIbZjk,Athletic Republic - North Phoenix,33.676167,-112.028355,5.0,0
ChIJw4ZUMQV3K4cRVs7XWxATp0o,Anytime Fitness,33.6951317,-111.91609,4.1,0
ChIJYTW56LB3K4cRcEFXRt9cj0s,Pinnacle Fitness - Personal Training Over 50 in Scottsdale,33.68529669999999,-111.9247221,5.0,0
