latitude,longitude,total_population,population_density,median_hh_income,median_age,pct_age_20_45,pct_bachelors_plus,reachable_pop_10min,reachable_pop_15min,reachable_pop_25min,competitor_count_3mi,nearest_competitor_dist_mi,eos_count_5mi,nearest_eos_dist_mi,years_open
33.45000000000001,-112.11999999999999,427256.0,7648.367491652493,61616.893189553826,31.327173638287114,0.40018864568315016,0.17308274687775013,145089.0,427256.0,1287621.0,3.0,1.3404540419726936,2.0,2.69358249713272,3.0
33.45000000000001,-112.10499999999999,433377.0,7524.427483117429,62458.02286790799,31.725019094229733,0.4049938044704726,0.1921103071921214,150751.0,433377.0,1327103.0,5.0,1.1286863100325637,3.0,1.8295983744347903,3.0
33.45000000000001,-112.08999999999999,452370.0,7372.896151918111,62624.659720780284,32.24435395804319,0.40770829188496144,0.21397804142626609,147854.0,452370.0,1343928.0,5.0,0.8535862811937757,3.0,0.9687235239745423,3.0
33.45000000000001,-112.07499999999999,425255.0,7209.75920454968,61963.47993944521,32.37726352423841,0.4178716299631986,0.23162365568893956,147960.0,425255.0,1386180.0,6.0,0.1812628090965955,2.0,0.16843939965517077,3.0
33.45000000000001,-112.05999999999999,423686.0,6972.462100989438,64918.79097438735,33.01365657586042,0.4190296587567208,0.2646579332335739,137277.0,423686.0,1354750.0,7.0,0.4584086940139714,2.0,0.7856652646663678,3.0
33.45000000000001,-112.04499999999999,395804.0,6644.967928602159,66522.76491407397,33.26736187608008,0.4331032531252843,0.2986837980414549,150491.0,395804.0,1326888.0,7.0,1.2593197452682907,2.0,1.6447247478350748,3.0
33.45000000000001,-112.02999999999999,365839.0,6127.91507608223,70419.31469314762,33.763942608633855,0.43972621836381576,0.33613520811067166,151695.0,365839.0,1282698.0,6.0,1.6112220589833082,2.0,2.508370107355448,3.0
33.45000000000001,-112.01499999999999,372754.0,6102.727741855275,72742.37382408758,33.60343041255091,0.44582486036367147,0.3783837002419826,139002.0,372754.0,1294408.0,6.0,1.8265373704501278,2.0,3.3730806699655767,3.0
33.45000000000001,-111.99999999999999,397083.0,6594.991083887872,73398.61398920185,33.159988969560516,0.4686425759853734,0.4046358380993394,136076.0,397083.0,1271953.0,3.0,1.5525123368601015,2.0,4.238204493415492,3.0
33.45000000000001,-111.98499999999999,402517.0,6846.888422630708,74949.92618577523,33.35728925734814,0.47311045247778355,0.41139505809692506,143080.0,402517.0,1252104.0,2.0,0.731598335571205,1.0,4.5886014708532965,3.0
